51289
0,18.725899760000004,19,20
1,2.5987515800003393,1,36
2,1.8265164999999968,34,49
3,16.87173999000033,41,21
4,1.2270921500000114,26,22
0,3,48.76400191,44,6
1,1,44.09168174,13,35
2,4,38.4723184,27,6
3,1,36.40331775,14,21
4,2,44.36102572,50,40
5,1,55.71262043,15,40
6,2,45.9622578,36,36
7,4,36.90684143,3,4
8,2,49.9985406,26,48
9,3,63.12038188,44,18
10,2,63.7118043,32,41
11,0,56.91378259,33,5
12,3,40.60892953,31,19
13,0,35.82814756,4,1
14,3,36.88169378,48,26
15,0,64.52218421,10,4
16,1,39.38884807,14,40
17,4,49.84931475,17,9
18,3,61.0137363,47,30
19,2,62.28650955,16,47
20,4,36.98224478,32,4
21,1,64.06758851,8,19
22,0,41.79763764,15,19
23,3,56.03098521,32,8
24,3,64.50983467,45,12
25,3,53.17296019,50,29
26,1,36.37710418,4,40
27,2,55.38231616,40,32
28,2,61.3949773,48,41
29,2,52.84858044,36,32
30,4,37.73044496,25,5
31,3,47.48157843,41,2
32,3,36.13312321,50,18
33,1,47.33240149,21,37
34,2,57.24475908,45,50
35,3,63.05172666,40,29
36,0,40.77396592,5,29
37,0,54.13000914,5,3
38,2,57.01992312,33,28
39,1,49.57599547,8,42
40,1,48.83351279,9,26
41,4,64.4517609,31,15
42,4,39.91374306,23,10
43,0,64.79397046,14,48
44,3,58.44840778,49,7
45,3,52.20518124,43,40
46,4,51.14671974,37,18
47,1,41.12708974,0,38
48,2,48.50865344,29,28
49,4,59.78619507,28,5
50,0,39.31626881,20,2
51,3,58.76139914,47,27
52,3,63.73606908,25,16
53,1,52.204709,1,1
54,4,36.7394839,27,5
55,3,39.8339645,26,18
56,0,40.4929237,47,19
57,0,61.5437326,6,9
58,4,52.23919855,17,15
59,3,57.03641574,44,29
60,0,61.57329114,12,10
61,4,54.48982494,19,28
62,0,38.62374353,11,34
63,2,43.1260208,49,39
64,4,44.4066236,27,18
65,3,64.44382811,24,19
66,0,38.40462319,12,38
67,4,64.1795134,18,6
68,2,40.87885768,18,44
69,4,63.87700034,29,1
70,2,47.14949021,36,50
71,0,58.3986013,3,9
72,2,64.49005705,50,45
73,4,62.88141752,26,31
74,3,43.94928406,47,35
75,2,50.35807729,29,31
76,2,56.40032746,12,50
77,2,60.93412813,15,45
78,1,58.6298162,5,19
79,1,47.39904077,1,43
80,0,61.34791216,15,4
81,4,59.05896036,17,21
82,2,59.68436389,28,44
83,4,49.50781665,21,29
84,1,39.81936486,1,29
85,3,41.68226663,37,13
86,2,40.61631674,42,28
87,0,55.90292767,41,12
88,1,42.61411328,4,44
89,4,49.44122897,28,46
90,3,49.04859791,50,12
91,1,57.36334288,3,18
92,4,38.33821095,37,12
93,0,54.0265882,9,4
94,0,57.39706274,1,12
95,1,43.25342339,17,35
96,0,49.04355789,8,33
97,2,63.56837786,17,44
98,4,58.39362925,15,29
99,4,38.79808279,12,11
100,4,35.44113109,33,32
101,4,46.87020086,10,25
102,1,64.6667857,3,35
103,1,52.89669021,2,19
104,3,36.64489815,36,12
105,2,38.48596722,18,18
106,0,47.63820126,14,11
107,0,63.8665196,48,3
108,1,62.12319013,2,18
109,4,50.13812647,30,35
110,0,45.04775519,1,9
111,1,39.51931013,16,50
112,0,64.74853094,14,4
113,4,45.54974087,11,9
114,3,38.76288176,37,3
115,3,54.907644,24,29
116,0,57.5929688,13,33
117,0,54.51204967,1,5
118,3,45.8934274,31,13
119,2,41.48920914,21,48
120,0,43.44180597,0,26
121,2,39.14559958,4,38
122,4,38.69040639,24,26
123,4,38.17991123,46,27
124,3,50.56612579,50,31
125,1,54.8377261,20,32
126,0,36.67499817,11,15
127,1,41.88875758,23,34
128,0,52.8837846,7,29
129,2,44.36408371,46,34
130,1,40.7044132,6,42
131,0,48.28655559,25,37
132,1,47.83949256,4,16
133,1,51.50674585,10,27
134,2,59.37576043,33,47
135,1,50.04026027,8,50
136,4,49.40039856,8,8
137,2,55.9303441,41,34
138,1,41.16116018,12,41
139,3,50.75214489,37,37
140,1,60.91065902,16,29
141,3,40.55434782,43,11
142,2,44.58706876,5,35
143,4,58.83768219,45,30
144,4,56.32473588,32,38
145,1,54.95406591,20,37
146,3,35.5552718,38,47
147,1,38.40802103,3,25
148,3,37.82715244,34,1
149,2,57.12008594,40,31
