52869.826373626376
2,-718.0976149299997,31.066666666666666,15.044444444444444
1,1408.771548880389,20.5,13.0
0,-3073.6055512600005,20.52747252747253,32.37362637362637
3,1262.1481371100385,5.6,15.2
4,1202.272924150027,47.666666666666664,32.5
0,0,51.94411629,21,18
1,0,47.82087397,47,50
2,0,51.81241388,25,31
3,0,53.11777253,27,38
4,2,54.14676516,30,13
5,2,45.24272018,48,4
6,2,46.74039375,32,18
7,2,54.75398768,49,15
8,3,47.72196575,3,9
9,0,51.86891316,46,40
10,0,46.8033198,3,25
11,0,54.99730646,1,32
12,2,47.04037014,32,3
13,0,50.25432556,32,49
14,2,45.54596912,30,14
15,0,49.93506537,39,34
16,0,49.07862835,3,24
17,0,54.18469088,43,45
18,0,46.63089313,1,28
19,2,48.43740503,15,0
20,0,52.92581641,30,32
21,0,53.98009231,18,10
22,0,52.91142802,21,46
23,0,46.75613739,21,33
24,0,47.34915773,39,42
25,0,46.26812357,17,21
26,0,53.63368373,12,21
27,0,52.96938435,17,34
28,0,46.60969509,46,39
29,0,45.84094791,33,35
30,0,51.95373609,43,41
31,0,54.30849405,15,36
32,0,54.2211502,18,24
33,0,52.58547404,16,37
34,0,46.9524009,47,35
35,2,53.46156177,42,4
36,0,49.79974209,3,33
37,4,51.75273225,41,24
38,0,48.27297674,4,48
39,0,54.91354462,1,45
40,2,50.04190502,27,10
41,0,54.22966024,28,48
42,0,48.85814641,11,23
43,0,54.54461427,1,48
44,4,47.94582721,43,29
45,2,49.86535747,38,3
46,0,46.38651333,31,24
47,0,53.35585729,25,29
48,0,54.16981224,16,19
49,0,48.01065715,45,31
50,2,50.55356632,27,11
51,0,47.37788381,46,48
52,0,48.60918505,17,41
53,0,48.14242474,39,46
54,0,49.72629004,14,6
55,3,46.01633925,8,12
56,0,51.03867367,0,19
57,0,48.4395487,13,47
58,0,52.0929123,39,35
59,0,45.5472391,25,13
60,3,46.46747877,8,13
61,0,48.25043584,33,31
62,0,45.40186719,1,28
63,4,49.93311335,39,25
64,0,49.65236115,12,26
65,0,46.05322103,6,41
66,2,48.70842308,16,1
67,0,48.54997218,20,11
68,0,51.72717898,7,32
69,3,51.62646163,2,5
70,0,52.78210048,41,36
71,0,49.13738507,10,36
72,3,52.76961749,4,2
73,0,48.0219944,20,16
74,2,45.78474275,31,8
75,0,52.98566399,24,50
76,0,49.79777396,25,40
77,4,47.99198559,48,28
78,2,53.71601636,50,0
79,2,45.2342213,30,7
80,0,53.15980812,21,21
81,0,50.30051709,20,10
82,0,46.01918212,6,17
83,0,50.8435769,30,45
84,2,53.95360569,50,15
85,0,53.32105133,16,16
86,0,50.63918945,14,22
87,0,52.2305101,11,37
88,2,51.82639703,50,21
89,1,52.8088529,9,11
90,0,54.53006205,15,10
91,0,46.51627586,6,22
92,0,45.29702228,41,44
93,0,47.09131203,26,41
94,0,45.31733653,15,15
95,0,50.16548949,24,32
96,2,52.38040091,41,12
97,0,47.58049297,29,25
98,4,52.05437525,39,27
99,0,54.12515118,50,35
100,1,45.16959822,0,4
101,2,53.48855448,45,2
102,2,50.91041056,29,7
103,0,53.76285577,10,24
104,2,47.6825473,46,4
105,0,45.61104522,17,12
106,2,53.3512745,33,3
107,2,51.58057128,36,14
108,0,50.30256407,8,44
109,0,53.26904882,48,47
110,0,46.65187897,22,34
111,0,51.54326497,31,37
112,0,50.38289294,19,47
113,0,53.12331423,20,28
114,2,48.31035497,20,5
115,0,51.79628813,19,22
116,0,53.95936785,6,43
117,0,49.52760828,2,50
118,0,46.13662116,8,20
119,2,45.17557463,40,8
120,0,51.57104914,34,47
121,0,50.20207187,0,46
122,4,54.7990422,37,21
123,0,53.34058355,14,15
124,2,46.43816048,44,40
125,0,48.72125695,0,24
126,0,53.08724525,3,23
127,0,53.63429606,17,37
128,2,49.54607954,42,45
129,0,54.56844455,9,40
130,2,47.92097158,37,5
131,0,48.43719875,1,30
132,2,50.74878243,10,3
133,2,47.56339729,36,44
134,2,47.77817151,6,0
135,2,45.25109877,30,5
136,2,53.54773542,3,16
137,2,47.97674042,43,30
138,2,52.57995149,2,35
139,2,47.67000862,30,29
140,2,48.94518723,29,16
141,2,51.83878558,36,8
142,2,47.71839737,25,39
143,2,48.74438962,18,39
144,2,48.22881096,4,35
145,2,48.23526882,6,2
146,2,51.07946117,14,18
147,2,48.82801588,35,24
148,2,46.27510427,20,41
