64618
0,12.987746429999824,18,34
1,1.738399069999545,32,11
2,2.708285869999621,41,1
3,2.438753709999979,3,35
4,13.876814920000136,39,41
102,2,50.91041056,29,7
19,2,48.43740503,15,0
3,3,53.11777253,27,38
44,2,47.94582721,43,29
52,3,48.60918505,17,41
61,4,48.25043584,33,31
104,0,47.6825473,46,4
96,1,52.38040091,41,12
111,1,51.54326497,31,37
109,2,53.26904882,48,47
92,2,45.29702228,41,44
121,4,50.20207187,0,46
141,4,51.83878558,36,8
126,3,53.08724525,3,23
89,1,52.8088529,9,11
115,2,51.79628813,19,22
59,4,45.5472391,25,13
47,1,53.35585729,25,29
84,2,53.95360569,50,15
56,0,51.03867367,0,19
124,0,46.43816048,44,40
81,2,50.30051709,20,10
11,4,54.99730646,1,32
127,3,53.63429606,17,37
76,3,49.79777396,25,40
13,3,50.25432556,32,49
38,0,48.27297674,4,48
88,1,51.82639703,50,21
99,1,54.12515118,50,35
113,1,53.12331423,20,28
32,0,54.2211502,18,24
130,0,47.92097158,37,5
75,0,52.98566399,24,50
132,2,50.74878243,10,3
138,0,52.57995149,2,35
122,2,54.7990422,37,21
30,0,51.95373609,43,41
140,1,48.94518723,29,16
134,2,47.77817151,6,0
40,1,50.04190502,27,10
93,1,47.09131203,26,41
78,2,53.71601636,50,0
149,3,47.73944395,29,11
105,1,45.61104522,17,12
15,0,49.93506537,39,34
45,2,49.86535747,38,3
147,2,48.82801588,35,24
23,0,46.75613739,21,33
119,4,45.17557463,40,8
80,0,53.15980812,21,21
73,0,48.0219944,20,16
39,4,54.91354462,1,45
72,3,52.76961749,4,2
24,3,47.34915773,39,42
97,0,47.58049297,29,25
71,0,49.13738507,10,36
7,2,54.75398768,49,15
43,3,54.54461427,1,48
36,3,49.79974209,3,33
8,2,47.72196575,3,9
117,3,49.52760828,2,50
64,3,49.65236115,12,26
103,2,53.76285577,10,24
90,3,54.53006205,15,10
50,1,50.55356632,27,11
144,4,48.22881096,4,35
112,0,50.38289294,19,47
54,1,49.72629004,14,6
42,0,48.85814641,11,23
58,0,52.0929123,39,35
6,2,46.74039375,32,18
123,2,53.34058355,14,15
41,0,54.22966024,28,48
143,0,48.74438962,18,39
101,1,53.48855448,45,2
67,3,48.54997218,20,11
83,2,50.8435769,30,45
2,4,51.81241388,25,31
142,2,47.71839737,25,39
65,4,46.05322103,6,41
136,1,53.54773542,3,16
137,4,47.97674042,43,30
4,4,54.14676516,30,13
60,4,46.46747877,8,13
77,4,47.99198559,48,28
53,0,48.14242474,39,46
10,1,46.8033198,3,25
82,2,46.01918212,6,17
29,1,45.84094791,33,35
86,3,50.63918945,14,22
133,4,47.56339729,36,44
25,2,46.26812357,17,21
85,3,53.32105133,16,16
35,4,53.46156177,42,4
46,1,46.38651333,31,24
148,3,46.27510427,20,41
129,3,54.56844455,9,40
12,4,47.04037014,32,3
51,0,47.37788381,46,48
108,4,50.30256407,8,44
79,3,45.2342213,30,7
68,4,51.72717898,7,32
31,4,54.30849405,15,36
21,0,53.98009231,18,10
91,1,46.51627586,6,22
18,1,46.63089313,1,28
57,0,48.4395487,13,47
94,0,45.31733653,15,15
34,3,46.9524009,47,35
37,2,51.75273225,41,24
125,0,48.72125695,0,24
1,3,47.82087397,47,50
118,1,46.13662116,8,20
146,2,51.07946117,14,18
70,2,52.78210048,41,36
139,0,47.67000862,30,29
128,4,49.54607954,42,45
17,1,54.18469088,43,45
145,2,48.23526882,6,2
27,3,52.96938435,17,34
63,1,49.93311335,39,25
114,4,48.31035497,20,5
0,4,51.94411629,21,18
69,1,51.62646163,2,5
48,4,54.16981224,16,19
20,0,52.92581641,30,32
74,4,45.78474275,31,8
5,4,45.24272018,48,4
116,2,53.95936785,6,43
62,2,45.40186719,1,28
95,3,50.16548949,24,32
26,3,53.63368373,12,21
87,3,52.2305101,11,37
110,4,46.65187897,22,34
9,4,51.86891316,46,40
120,3,51.57104914,34,47
98,1,52.05437525,39,27
14,3,45.54596912,30,14
135,3,45.25109877,30,5
55,2,46.01633925,8,12
22,4,52.91142802,21,46
66,1,48.70842308,16,1
28,0,46.60969509,46,39
49,1,48.01065715,45,31
106,1,53.3512745,33,3
33,0,52.58547404,16,37
131,4,48.43719875,1,30
16,1,49.07862835,3,24
100,3,45.16959822,0,4
107,1,51.58057128,36,14
