49761
0,8.357253699999966,32,20
1,26.891534170000014,21,16
2,2.1517615500000105,30,27
3,2.4198385200000203,16,24
4,0.7662741900000043,34,37
5,2.5692868200000234,28,26
6,15.91844371000002,25,21
7,46.22592320999994,18,26
8,38.35628832999994,13,22
9,13.159144720000015,32,22
10,17.16074765999999,31,27
11,13.955836940000026,20,22
12,22.273669540000014,26,18
13,14.87681233999998,28,35
14,12.663015179999988,23,27
15,15.620588419999976,17,29
16,35.628268379999994,21,32
53,5,26.27681146,37,47
56,13,63.87594515,11,10
1,6,66.13020717,24,22
38,14,45.33453242,21,29
136,5,43.0013272,42,34
123,1,41.46231813,42,40
73,2,38.37311881,5,9
27,9,29.83002147,16,48
82,2,32.56142196,32,9
64,5,59.63813712,45,1
20,2,41.78571625,47,6
100,2,64.25603513,39,19
139,12,63.12900053,24,36
101,3,66.45865072,33,11
78,14,60.5787997,50,3
43,3,58.90934923,48,4
119,0,54.40644245,1,24
81,8,67.70113184,25,40
8,5,63.19785578,9,37
120,1,67.12368936,20,3
142,11,42.32972013,22,14
69,3,66.07952654,46,42
46,6,46.63929091,43,32
144,13,74.26615041,33,24
21,6,59.91115918,38,22
129,15,50.53984719,38,24
35,11,52.08494864,5,15
95,7,74.53947279,0,34
34,14,53.08761347,15,44
60,3,49.93687743,30,16
51,14,45.9393011,4,3
126,16,41.23924682,34,8
50,10,60.96696147,41,36
61,11,65.6434655,21,42
22,3,71.42208448,47,40
134,6,60.8375359,29,7
6,2,52.43116675,19,4
127,6,33.61818802,16,3
5,3,62.14055349,17,11
52,10,70.02856894,15,4
15,15,60.40913294,37,28
10,14,40.20336825,20,11
47,4,29.93133051,2,50
138,15,52.07076394,24,24
87,10,38.69411298,21,27
140,4,29.86780761,4,0
23,14,37.23961036,23,1
44,7,45.14508246,20,14
99,6,39.37298309,39,43
118,0,47.29043731,21,11
135,10,29.1671214,36,41
55,6,29.51140333,30,4
72,14,31.97506792,45,24
4,11,62.43058175,22,46
42,16,37.28002017,13,27
58,15,31.4973607,47,16
109,2,29.90737428,28,3
12,0,39.13247939,33,0
16,8,27.78076375,2,8
91,13,46.65642768,21,44
102,6,38.3766668,24,18
62,0,38.5524821,9,50
148,7,56.65609954,26,27
24,4,70.21473166,18,37
110,1,58.40033018,3,7
0,0,53.97543253,34,47
66,10,28.73871494,44,27
128,7,44.9319234,20,34
76,7,57.15314373,18,15
3,3,46.4333204,19,38
105,16,68.63304898,5,37
18,10,38.72179636,28,23
98,1,70.41480105,47,50
121,13,39.85726456,31,15
41,15,29.34726889,23,10
84,6,59.68412189,43,14
71,15,38.85647001,31,18
116,4,63.30973309,15,46
40,8,57.11814462,27,3
48,4,60.7690834,30,2
111,15,38.50460131,7,25
30,12,54.25835415,50,35
80,15,55.93567156,25,5
113,7,73.40226925,46,38
68,11,57.19809379,5,13
124,1,69.53106382,38,18
59,5,45.25994244,1,18
117,0,26.81272998,39,35
90,16,34.78697213,16,41
28,2,74.15296092,12,5
17,9,57.77286486,23,48
37,4,66.05341632,30,12
54,10,31.03872389,8,3
149,3,26.19979919,10,27
145,15,49.16852893,39,14
86,9,56.03511409,29,22
36,10,38.71047582,21,50
112,0,37.81128037,28,15
31,5,41.7880369,9,48
85,10,30.57764452,43,39
133,11,43.28587772,4,5
131,0,38.24420236,50,49
125,0,72.11411933,27,13
106,12,62.33504063,29,30
45,4,44.75870431,11,4
79,5,47.17876571,15,50
104,10,32.63123071,18,32
92,5,60.03957103,19,40
65,2,44.14228862,9,44
143,2,30.41692196,37,6
9,13,65.00367928,16,38
115,13,33.96614241,26,37
83,13,55.75694271,18,28
39,7,51.94608562,37,23
70,12,75.8473443,2,12
97,0,33.30314048,30,31
107,11,41.71675352,34,50
89,14,74.82543524,11,38
146,11,71.35472201,21,48
57,15,28.04976611,4,38
32,16,72.88165705,22,10
11,1,53.03976583,19,12
49,13,55.74063546,28,37
108,16,51.84271486,44,33
14,4,53.84443114,21,37
2,2,39.82123377,49,44
122,9,29.43663895,9,23
103,9,26.65336877,42,47
67,8,35.97663002,48,50
19,9,29.92408755,27,22
114,10,33.56390131,38,21
147,9,66.78438663,22,17
33,12,62.0133643,26,30
75,8,53.27408283,3,9
63,14,48.15325636,0,16
7,4,30.48448777,8,6
13,12,39.45690812,33,7
93,8,29.26065385,37,35
74,16,40.72933179,40,39
94,12,70.68631843,10,47
77,8,56.14106998,13,28
25,5,61.05026554,30,37
130,1,63.13649746,30,25
141,16,66.97873982,19,33
88,9,64.25056806,18,33
96,8,46.25506287,10,39
132,9,76.1538049,24,30
26,8,38.13617191,4,33
